"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"399","DeAndre Washington","RB","FA","-","-","-","-","-","-","-","0.4","2.7","0","3.9","2.7","-1.3","0","0.1","-0.1","3","1.1","11.4"
"400","Dwayne Harris","WR","FA","0","-","3.1","-0.1","0","1.7","-","1.3","2.3","1","0","0","1.9","0","0","0","0","0.7","11.2"
"401","Durham Smythe","TE","CHI","0","0","0","0","0","0","0","0","0","-","-","4.7","0","0","0","1.9","4.4","0.7","11"
"402","Mike Glennon","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.4","2.5","-","5.5","11"
"403","T.J. Logan","RB","FA","-","0","-","-","-","-","-","0","-","3.4","0","1.5","0.5","0","5.5","0","0","1.1","10.9"
"404","D'Onta Foreman","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10.7","-","10.7","10.7"
"405","Noah Brown","WR","WAS","-","-","-","BYE","-","-","-","-","-","0","0","3.2","1.9","0","2.4","1.6","1.3","1.3","10.4"
"406","Patrick DiMarco","RB","FA","0","3.4","0","0","0","0","0","1","0","0","-","0","4.8","0","0.9","0","0","0.6","10.1"
"407","Eric Saubert","TE","SEA","0","0","0","0","1.8","0","1.8","-","0","2.7","0","0","0","3.5","0","0","0","0.6","9.8"
"408","Jacob Hollister","TE","FA","-","6.5","-","-","0","0","-","-","-","2.7","-","0","0","0","-","0","-","1.2","9.2"
"409","Kenjon Barner","RB","FA","-","-","-","1.1","-","1.6","3.6","0.4","0.4","-","-","-","0","0","0","1.3","-","0.9","8.4"
"410","Roosevelt Nix","RB","FA","0","2.9","0","0","0","0","-","0","0","3.7","0","0","0","0","0","0.4","1.2","0.5","8.2"
"411","Chad Beebe","WR","FA","-","-","-","-","-","-","-","-","5.1","-","2.8","-","-","-","-","0","-","2.6","7.9"
"412","Tyler Kroft","TE","FA","1.9","3.1","2.6","0","0","-","-","-","-","-","-","-","-","-","-","-","-","1.5","7.6"
"413","Auden Tate","WR","FA","-","-","-","-","-","-","-","-","-","0","1.5","3.5","-","0","0","0","2.5","1.1","7.5"
"414","Keith Smith","RB","FA","0","3.2","1.2","0","0","0","-","1.8","0","0","0","0","0","0","0","1.1","0","0.5","7.3"
"415","Teddy Bridgewater","QB","TB","-","-","-","-","-0.3","-","-","0","-","-0.3","-0.1","-","-","-","-","-","7.9","1.4","7.2"
"415","Javon Wims","WR","FA","-","-","-","0","-","-","-","0","0","-","-","-","-","-","-","-","7.2","1.8","7.2"
"417","Ray-Ray McCloud III","WR","ATL","-","-","1.6","0","1.4","-0.8","-","2.6","0","0","-","-","-","0","0.7","-","1.5","0.7","7"
"418","Marcedes Lewis","TE","FA","0","0","0","0","0","0","-","0","1.5","4","0","1.4","0","0","0","0","0","0.4","6.9"
"419","Mike Boone","RB","FA","-","-","2.1","1.1","0.1","2","0.4","1.1","0","-","-","-","-","-","-","-","0","0.9","6.8"
"420","Samaje Perine","RB","CIN","-","-","-","-","-","1","0.2","-","4.8","0","-","-","-","-","-","-","0.7","1.3","6.7"
"421","Tyler Ervin","RB","FA","2.2","0","0","0","0","0","2.9","1.4","0","-","-","-","-","-","-","-","-","0.7","6.5"
"422","Jordan Franks","TE","FA","-","-","-","-","-","-","-","4.2","-","0","1.5","0","0","0","-","-","-","1","5.7"
